batter,batter_name,pitch_group,pitch_type,zone,swings,avg_tilt,avg_aa,avg_bat_speed,avg_swing_len,batting_avg,xwoba,avg_exit_velocity,avg_launch_angle
455117,Martín Maldonado,Fastball,FF,2,13,29.911158344220365,8.654487088012491,71.52307692307691,6.961538461538462,0.0,0.3743159859464207,87.25714285714285,35.714285714285715
455117,Martín Maldonado,Fastball,FF,3,10,27.235884578289564,10.298566058547568,70.7,7.18,0.0,0.0912,86.86666666666667,22.0
455117,Martín Maldonado,Fastball,FF,4,14,34.702930250232626,10.451840892623506,71.38571428571429,7.028571428571429,0.2857142857142857,0.3615,85.7,16.2
455117,Martín Maldonado,Fastball,FF,11,10,25.23364520481427,10.121897206182256,61.36,6.33,0.0,0.024499999999999997,60.925,8.75
456781,Donovan Solano,Breaking,SL,14,11,36.38562784515656,14.668870868159765,60.66363636363636,7.5,0.0,0.10633333333333334,66.63333333333334,-0.8333333333333334
456781,Donovan Solano,Fastball,FF,1,14,30.042461944087098,6.726050364681718,64.21428571428571,6.45,0.14285714285714285,0.12371428571428573,80.85384615384615,42.0
456781,Donovan Solano,Fastball,FF,2,12,29.12752113002989,-2.5943387616267066,62.15,6.041666666666667,0.0,0.145,84.65,35.7
456781,Donovan Solano,Fastball,FF,3,13,26.941094108002257,-3.660618013630528,62.62307692307692,5.984615384615385,0.07692307692307693,0.048749999999999995,85.48888888888888,29.666666666666668
456781,Donovan Solano,Fastball,FF,5,11,35.91923594061153,0.8926224163269816,65.82727272727273,6.581818181818182,0.0,0.218,82.63333333333334,32.55555555555556
456781,Donovan Solano,Fastball,FF,11,10,26.35296182826131,8.35807269817019,57.96,6.0200000000000005,0.1,0.1573684210526316,89.66,23.0
456781,Donovan Solano,Fastball,FF,12,21,24.90619313469507,1.395816658733814,62.333333333333336,6.2285714285714295,0.047619047619047616,0.14950000000000002,82.625,32.333333333333336
456781,Donovan Solano,Offspeed,CH,9,10,38.58929191578547,10.751920460691979,64.46000000000001,7.470000000000001,0.0,0.22575,84.60000000000001,24.666666666666668
457705,Andrew Mccutchen,Breaking,CU,14,10,32.51159540831222,15.058738678484735,62.78000000000001,8.32,0.1,0.029833333333333333,74.03333333333335,1.3333333333333333
457705,Andrew Mccutchen,Breaking,SL,5,20,34.10439381125032,14.078942546103622,71.535,7.775,0.1,0.3835878378378379,79.49411764705883,24.88235294117647
