batter,batter_name,pitch_group,total_swings,avg_bat_speed,avg_swing_length,avg_attack_angle,avg_swing_path_tilt,swings_in_zone,batting_avg,xwoba,avg_exit_velocity,avg_launch_angle
500743,A.J. Minter,Fastball,2,76.35,7.0,12.743071,24.430766,1,0.0,0.008,78.1,20.5
502671,A.J. Minter,Fastball,2,70.65,8.05,14.606295,28.726956,2,0.0,0.099,99.6,44.0
518692,A.J. Minter,Fastball,1,71.0,7.1,8.34285,38.810092,1,1.0,0.921,82.3,18.0
545341,A.J. Minter,Fastball,4,78.325,7.8,8.628327,27.853988,3,0.25,0.2045,84.233333,25.666667
547180,A.J. Minter,Fastball,4,70.375,7.775,16.757699,31.297143,1,0.5,0.53,76.5,31.0
553993,A.J. Minter,Fastball,2,71.95,7.4,12.947676,34.29049,1,0.5,0.372,104.3,-2.0
592450,A.J. Minter,Fastball,2,77.95,8.4,24.089961,35.958905,1,0.5,1.151,104.2,36.0
592518,A.J. Minter,Fastball,3,72.766667,6.866667,2.253393,16.914713,1,0.0,,,
592663,A.J. Minter,Fastball,2,75.1,7.7,17.616948,26.586874,2,0.5,0.1845,95.95,20.0
592885,A.J. Minter,Fastball,2,74.25,8.15,18.829981,33.341498,2,0.5,1.245,104.3,23.0
595978,A.J. Minter,Fastball,1,83.4,7.6,14.16771,26.46776,1,1.0,0.882,99.5,12.0
605141,A.J. Minter,Fastball,2,69.2,6.8,10.024794,36.796601,2,0.0,0.003,76.65,58.5
606192,A.J. Minter,Fastball,2,71.95,7.4,5.044147,32.769989,1,0.0,0.009,80.6,25.0
607208,A.J. Minter,Fastball,5,74.04,7.94,11.405841,24.970474,4,0.0,0.335,79.22,20.2
608324,A.J. Minter,Fastball,1,72.6,8.1,21.857629,27.363415,1,0.0,0.044,69.4,-15.0
609280,A.J. Minter,Fastball,1,77.2,8.3,13.763437,24.555772,1,0.0,,79.0,54.0
621020,A.J. Minter,Fastball,1,75.5,7.2,8.502626,41.288006,1,0.0,0.141,80.0,28.0
621550,A.J. Minter,Fastball,4,78.525,8.25,18.498585,33.016091,3,0.0,0.0,72.0,25.5
621566,A.J. Minter,Fastball,7,75.0,8.014286,12.872597,34.432358,4,0.142857,0.593,89.15,36.75
624641,A.J. Minter,Fastball,3,73.166667,8.166667,8.509085,32.637895,2,0.0,0.0425,81.3,-16.0
641355,A.J. Minter,Fastball,4,69.85,7.85,12.318618,31.232649,3,0.5,0.3665,76.05,-33.25
641487,A.J. Minter,Fastball,1,68.1,6.9,-8.064901,30.612024,1,0.0,,74.3,44.0
642201,A.J. Minter,Fastball,3,72.933333,6.466667,-2.955087,26.157427,2,0.0,0.201,84.1,31.0
643217,A.J. Minter,Fastball,4,71.5,7.5,17.67648,30.634602,3,0.0,0.0,74.1,22.0
643289,A.J. Minter,Fastball,5,70.34,8.2,8.145423,41.810619,2,0.2,0.3555,85.58,24.2
643446,A.J. Minter,Fastball,3,55.933333,6.433333,-3.815938,27.444311,0,0.0,0.0,73.6,36.5
645277,A.J. Minter,Fastball,3,72.7,7.5,14.331885,33.779746,3,0.0,0.281333,97.566667,20.666667
650333,A.J. Minter,Fastball,2,57.55,5.7,18.423293,31.654965,0,0.0,0.003,64.7,63.0
650559,A.J. Minter,Fastball,4,75.575,7.125,5.088579,40.753806,2,0.0,0.056,75.85,5.0
650859,A.J. Minter,Fastball,1,69.2,8.5,27.870486,42.638862,0,0.0,0.0,,
655316,A.J. Minter,Fastball,1,72.8,7.2,13.047434,31.163154,1,1.0,1.179,100.5,27.0
656537,A.J. Minter,Fastball,1,65.9,7.7,17.271224,34.229839,1,0.0,0.055,84.0,30.0
656716,A.J. Minter,Fastball,1,66.7,6.8,6.368578,39.678252,1,0.0,0.126,91.2,32.0
656941,A.J. Minter,Fastball,6,78.383333,7.6,15.333236,28.769768,5,0.0,0.05325,86.416667,37.0
657757,A.J. Minter,Fastball,1,76.2,8.3,14.521571,22.731241,1,0.0,0.409,86.7,5.0
660670,A.J. Minter,Fastball,2,80.45,7.95,15.023873,33.127282,2,0.0,0.422,79.45,63.0
660844,A.J. Minter,Fastball,1,65.0,7.6,14.635935,28.416886,1,0.0,0.489,88.5,7.0
661388,A.J. Minter,Fastball,1,74.5,6.7,2.953957,33.502239,1,0.0,0.114,81.0,-8.0
663457,A.J. Minter,Fastball,1,76.1,6.8,3.54666,27.566801,1,0.0,0.019,81.9,41.0
663656,A.J. Minter,Fastball,1,75.5,7.3,6.993041,39.425789,1,1.0,1.245,103.6,23.0
663698,A.J. Minter,Fastball,3,77.6,7.9,19.101288,37.275875,1,0.0,0.0,110.9,36.0
663853,A.J. Minter,Fastball,4,70.175,6.15,2.200409,30.167448,1,0.0,0.0,62.75,53.0
663886,A.J. Minter,Fastball,1,72.1,8.4,25.182071,33.735158,1,0.0,0.003,76.1,65.0
663993,A.J. Minter,Fastball,1,78.3,7.4,11.889625,25.902228,1,0.0,0.005,84.2,69.0
664023,A.J. Minter,Fastball,1,77.6,7.5,18.326596,36.055239,1,0.0,,,
664034,A.J. Minter,Fastball,1,65.0,7.3,2.349831,32.457,1,0.0,0.518,84.8,21.0
664761,A.J. Minter,Fastball,1,72.3,7.2,11.719526,23.84862,1,1.0,1.667,107.0,23.0
